"filename", "language", "Markdown", "JavaScript", "JSON", "Less", "JavaScript React", "CSS", "JSON with Comments", "Python", "XML", "comment", "blank", "total"
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\fa-IR\settings.js", "JavaScript", 0, -60, 0, 0, 0, 0, 0, 0, 0, 0, -1, -61
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\id-ID.js", "JavaScript", 0, -24, 0, 0, 0, 0, 0, 0, 0, 0, -1, -25
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\id-ID\component.js", "JavaScript", 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, -1, -6
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\id-ID\globalHeader.js", "JavaScript", 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, -1, -18
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\id-ID\menu.js", "JavaScript", 0, -52, 0, 0, 0, 0, 0, 0, 0, 0, -1, -53
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\id-ID\pages.js", "JavaScript", 0, -70, 0, 0, 0, 0, 0, 0, 0, 0, -1, -71
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\id-ID\pwa.js", "JavaScript", 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, -1, -8
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\id-ID\settingDrawer.js", "JavaScript", 0, -32, 0, 0, 0, 0, 0, 0, 0, 0, -1, -33
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\id-ID\settings.js", "JavaScript", 0, -60, 0, 0, 0, 0, 0, 0, 0, 0, -1, -61
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\ja-JP.js", "JavaScript", 0, -23, 0, 0, 0, 0, 0, 0, 0, 0, -1, -24
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\ja-JP\component.js", "JavaScript", 0, -5, 0, 0, 0, 0, 0, 0, 0, 0, -1, -6
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\ja-JP\globalHeader.js", "JavaScript", 0, -17, 0, 0, 0, 0, 0, 0, 0, 0, -1, -18
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\ja-JP\menu.js", "JavaScript", 0, -52, 0, 0, 0, 0, 0, 0, 0, 0, -1, -53
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\ja-JP\pages.js", "JavaScript", 0, -67, 0, 0, 0, 0, 0, 0, 0, 0, -1, -68
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\ja-JP\pwa.js", "JavaScript", 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, -1, -8
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\ja-JP\settingDrawer.js", "JavaScript", 0, -31, 0, 0, 0, 0, 0, 0, 0, 0, -1, -32
"d:\工作\软工实验\sep\SE-Project-Front\src\locales\ja-JP\settings.js", "JavaScript", 0, -59, 0, 0, 0, 0, 0, 0, 0, 0, -1, -60
